client_id,client_type,age,acquisition_purpose,total_investment,num_properties,cluster,cluster_name
C0001,Individual,58,Home,1246764.72,4,0,Individual Home Buyers
C0002,Individual,64,Home,1841095.93,5,0,Individual Home Buyers
C0003,Individual,67,Home,1661457.59,5,0,Individual Home Buyers
C0004,Individual,67,Home,1608263.51,6,0,Individual Home Buyers
C0005,Company,50,Investment,3653385.38,13,0,Individual Home Buyers
C0006,Individual,69,Home,1514131.06,5,0,Individual Home Buyers
C0007,Individual,79,Investment,3251147.83,11,1,Corporate Buyers
C0008,Individual,57,Home,1476730.41,5,0,Individual Home Buyers
C0009,Individual,51,Investment,1820832.35,5,0,Individual Home Buyers
C0010,Individual,60,Investment,1732434,5,0,Individual Home Buyers
C0011,Individual,70,Home,1325211.52,5,0,Individual Home Buyers
C0012,Company,51,Investment,1599526.4,4,0,Individual Home Buyers
C0013,Individual,64,Home,2142750.89,5,0,Individual Home Buyers
C0014,Company,46,Home,1548140.07,4,0,Individual Home Buyers
C0015,Individual,85,Home,1585907.37,5,0,Individual Home Buyers
C0016,Individual,87,Investment,1010217.73,4,0,Individual Home Buyers
C0017,Individual,49,Home,1778693.75,5,0,Individual Home Buyers
C0018,Individual,59,Home,1061478.67,4,0,Individual Home Buyers
C0019,Individual,69,Home,1773474.26,4,0,Individual Home Buyers
C0020,Individual,59,Home,1508032.25,4,0,Individual Home Buyers
C0021,Individual,88,Investment,1928172.72,6,0,Individual Home Buyers
C0022,Individual,60,Investment,1372403.2,4,1,Corporate Buyers
C0023,Individual,68,Home,1457871.69,5,0,Individual Home Buyers
C0024,Individual,63,Investment,1884156.9,6,0,Individual Home Buyers
C0025,Individual,89,Home,1694448.83,5,0,Individual Home Buyers
C0026,Individual,64,Investment,2932241.75,10,0,Individual Home Buyers
C0027,Individual,58,Home,1517969.44,5,0,Individual Home Buyers
C0028,Individual,68,Home,1791082.79,5,0,Individual Home Buyers
C0029,Individual,50,Home,1247795.31,4,0,Individual Home Buyers
C0030,Individual,74,Home,1547311.29,4,0,Individual Home Buyers
C0031,Individual,49,Home,1077148.21,5,0,Individual Home Buyers
C0032,Individual,60,Home,1888995.16,5,0,Individual Home Buyers
C0033,Individual,58,Home,1404998.67,4,0,Individual Home Buyers
C0034,Individual,57,Home,1632608.66,5,1,Corporate Buyers
C0035,Individual,61,Home,1987876.4,5,0,Individual Home Buyers
C0036,Individual,53,Home,1173683.53,4,0,Individual Home Buyers
C0037,Individual,64,Home,1607228.75,5,0,Individual Home Buyers
C0038,Individual,52,Investment,1175129.27,4,0,Individual Home Buyers
C0039,Individual,59,Home,1858527.54,4,1,Corporate Buyers
C0040,Individual,51,Home,1854608.29,6,0,Individual Home Buyers
C0041,Individual,59,Home,1374460.79,5,0,Individual Home Buyers
C0042,Individual,51,Home,1101390.25,4,0,Individual Home Buyers
C0043,Individual,61,Investment,1126492.46,4,0,Individual Home Buyers
C0044,Individual,95,Home,1330493.26,4,0,Individual Home Buyers
C0045,Individual,58,Investment,1463432.36,5,0,Individual Home Buyers
C0046,Individual,62,Home,2026517.4,8,0,Individual Home Buyers
C0047,Individual,56,Home,1438239.28,5,0,Individual Home Buyers
C0048,Individual,69,Home,1338718,4,0,Individual Home Buyers
C0049,Individual,55,Home,1390091.2,4,0,Individual Home Buyers
C0050,Individual,86,Home,2744452.35,9,0,Individual Home Buyers
C0051,Individual,85,Home,1270440.42,4,0,Individual Home Buyers
C0052,Individual,59,Investment,1474211.53,4,0,Individual Home Buyers
